<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Аэрофлот;D;19/03/18;000000;162.6;162.75;159.35;159.35;3979000;0
Аэрофлот;D;20/03/18;000000;159.4;161.15;158.85;160.15;2451700;0
Аэрофлот;D;21/03/18;000000;160.85;163.25;159.75;159.75;5777800;0
Аэрофлот;D;22/03/18;000000;159.95;160.6;155.55;156.5;5136400;0
Аэрофлот;D;23/03/18;000000;155.5;159.7;151.9;158.35;13160500;0
Аэрофлот;D;26/03/18;000000;158.05;161.45;155.85;157.25;6998200;0
Аэрофлот;D;27/03/18;000000;157.2;158.8;153.75;154.25;5284100;0
Аэрофлот;D;28/03/18;000000;154.25;155.85;152.75;154;3421800;0
Аэрофлот;D;29/03/18;000000;154.15;155.5;153.65;154.2;2347200;0
Аэрофлот;D;30/03/18;000000;155.2;155.7;154.55;155.6;1388800;0
Аэрофлот;D;02/04/18;000000;155.6;157.2;154.75;156.25;2486700;0
Аэрофлот;D;03/04/18;000000;156.75;156.75;153.7;156.25;2900600;0
Аэрофлот;D;04/04/18;000000;156.25;156.6;154.95;156.05;1806900;0
Аэрофлот;D;05/04/18;000000;156.25;158.5;154.1;158.05;3557900;0
Аэрофлот;D;06/04/18;000000;157.8;158.2;156.25;157.3;2356400;0
Аэрофлот;D;09/04/18;000000;157.2;157.2;137.55;144;25695500;0
Аэрофлот;D;10/04/18;000000;143.3;148;140.55;144.8;11812700;0
Аэрофлот;D;11/04/18;000000;145.35;147.5;140.7;143.5;10242800;0
Аэрофлот;D;12/04/18;000000;145.5;148.2;144.65;147.05;4060800;0
Аэрофлот;D;13/04/18;000000;147.3;148.8;142.65;144.85;4671400;0
Аэрофлот;D;16/04/18;000000;142.45;146.7;141.2;145.4;3108800;0
Аэрофлот;D;17/04/18;000000;147.15;148.7;146.2;147.3;2944700;0
Аэрофлот;D;18/04/18;000000;147.65;154.45;147.25;153.55;5013600;0
Аэрофлот;D;19/04/18;000000;154.55;155.75;149.65;150.95;4121100;0
Аэрофлот;D;20/04/18;000000;149.95;151.15;148.55;149.4;2714100;0
Аэрофлот;D;23/04/18;000000;150.05;150.05;146.7;148.5;4346900;0
Аэрофлот;D;24/04/18;000000;148.5;149.3;146.15;146.6;3605000;0
Аэрофлот;D;25/04/18;000000;146.1;146.6;143.35;144.45;3619600;0
Аэрофлот;D;26/04/18;000000;144.45;145.9;143.6;145.6;3491800;0
Аэрофлот;D;27/04/18;000000;146.75;146.75;144.2;144.3;3266300;0
Аэрофлот;D;28/04/18;000000;144.3;145.65;144.05;144.85;798400;0
Аэрофлот;D;30/04/18;000000;145.2;146.25;143.15;144;2997500;0
Аэрофлот;D;02/05/18;000000;145.2;147.3;144;147.3;3201100;0
Аэрофлот;D;03/05/18;000000;146.95;147.25;143.5;144.2;5007400;0
Аэрофлот;D;04/05/18;000000;143.8;143.9;141.25;141.65;6367300;0
Аэрофлот;D;07/05/18;000000;141.75;142.75;141.4;141.9;2973400;0
Аэрофлот;D;08/05/18;000000;142;142;140;140.4;3154400;0
Аэрофлот;D;10/05/18;000000;140.85;141.8;139.05;139.8;8130600;0
Аэрофлот;D;11/05/18;000000;139.9;140.45;137.05;137.5;8455100;0
Аэрофлот;D;14/05/18;000000;137.55;137.55;132.05;136.15;9876400;0
Аэрофлот;D;15/05/18;000000;136.15;139.25;134.6;138;6973900;0
Аэрофлот;D;16/05/18;000000;137.95;138.45;136.8;137.95;3733000;0
Аэрофлот;D;17/05/18;000000;138.2;138.55;136.55;137.95;2495800;0
Аэрофлот;D;18/05/18;000000;137.9;137.9;136.15;136.75;1868200;0
Аэрофлот;D;21/05/18;000000;136.1;137.75;136.05;136.2;2426500;0
Аэрофлот;D;22/05/18;000000;136.2;136.85;134.2;135;3745200;0
Аэрофлот;D;23/05/18;000000;134.8;135.3;132.55;132.55;3699500;0
Аэрофлот;D;24/05/18;000000;132.6;133;130.65;132.7;3842200;0
Аэрофлот;D;25/05/18;000000;132.15;133.35;131.3;132.2;3865500;0
Аэрофлот;D;28/05/18;000000;132.45;133.85;131.3;131.55;3141200;0
Аэрофлот;D;29/05/18;000000;131.7;132.65;131.1;131.85;3629100;0
Аэрофлот;D;30/05/18;000000;133.75;139.85;133.7;139.85;20649700;0
Аэрофлот;D;31/05/18;000000;140;141.5;138.05;140.8;9245800;0
